book_title;Status;author;page_count;reading_time_hhmmss;rating;finished_at;country;genres;amazon_url;reading_time_seconds;cover_filename;URL;ISBN
O Lobo da estepe;reading;Herman Hesse;252;;;Lendo;Alemanha;Clássico, Filosofia;;;o-lobo-da-estepe.jpg;https://www.amazon.com.br/lobo-estepe-Hermann-Hesse/dp/8501113883/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=2695UUBZCRQ52&dib=eyJ2IjoiMSJ9.aV-h2LQIXgeWThGYsow9zX26or8mnlfUxZCtuVYpU_BBN0nHwolim7FCFP0CjIqd79EcP7iytrRgiQsuCfjH6WR-I5ynUWbwgQ78yBvN1ZTsGl9bnAZNygu6hJlygMNB8pn7JObaNwUI2dpLXB6oTOSa4ti5FDeN2zBjkbyKKmvOl669TV2GjNKhSMhXK8FduMTU5CV8SOQPf-5tiXJxFk8JKqZf2uiEgXKCEi6iG2g.dnjMhc-jgL1gUjLwTzb_tl3NGG5Fn31oL8bb9X8-COg&dib_tag=se&keywords=O+Lobo+da+estepe&qid=1784424357&s=books&sprefix=o+lobo+da+estepe%252Cstripbooks%252C267&sr=1-1;8501113883
Kafka à beira mar;reading;Haruki Murakami;675;;;Lendo;Japão;Ficção, Realismo Mágic;;;kafka-a-beira-mar.jpg;https://www.amazon.com.br/s?k=Kafka+à+beira+mar&i=stripbooks&__mk_pt_BR=ÅMÅ_ÕÑ&crid=L4H8JYJ572L0&sprefix=kafka+à+beira+mar%252Cstripbooks%252C272&ref=nb_sb_noss_1;
Sem chance de Adeus;reading;Reese Whiterspoon;391;;;Lendo;EUA;Thriller, Suspense;;;sem-chance-de-adeus.jpg;https://www.amazon.com.br/Sem-chance-adeus-Harlan-Coben-ebook/dp/B0GH1DZ318/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=33FM8486EK11S&dib=eyJ2IjoiMSJ9.RZk3ibOm9TLzdNmdSZT6jKOTpPdbaL-4msbWfAvAZ7aQz8LoVChzVWXPfX46jYNSsxJTLqCcx9vC6HMeMV-Lt22OQFj-6qjkn0c7A01pT-jA_Lt9CBNbtYLwMHAeuuqcyxZr1U8FYjpyYKLJCpfiEKkmQa8CEBVK1H8cFznAPWUD-SyEUt0I9mttvKPkvrZLzJX5iCD-Ng4ndOZCpfeBfqw2WyhddxKMfVXyyd0i1T8.skJ9P2EkfHLxzekPyaM4uVaAx0UJ2eozOB5Qz6qPQJ4&dib_tag=se&keywords=Sem+chance+de+Adeus&qid=1784424399&s=books&sprefix=sem+chance+de+adeus%252Cstripbooks%252C269&sr=1-1;B0GH1DZ318
Morro dos ventos uivantes;reading;Emily Bronte;368;;;Lendo;Reino Unido;Clássico, Romance;;;morro-dos-ventos-uivantes.jpg;https://www.amazon.com.br/morro-dos-ventos-uivantes/dp/8594318235/ref=sr_1_4?__mk_pt_BR=ÅMÅ_ÕÑ&crid=I0822W6AB7N9&dib=eyJ2IjoiMSJ9.g-G4eOKuENpy5FBD5ijs-z9ra3Tu0pbQxzOw1bfMCw2qOz0D3tarfhuv0AOv2tS2yfHRZS_BUvIOL-wEoqefuTB-qTVfzahpfAY3UQFK7vR1nQZBs4YV2O42-SYu2sKjiC1wUVOVuJS18HTo1MIwFNW7wEKDbG6VQyfyJJ-gU_L8EcqlxtH836KiRso-yQHg2Tynde9z3SKlKOrYQFf0hrkGwvul1j4I64JDtBZGP-M.3n9JuxW2Ci7sLwAWUgCkuy18dMuxBsYoSaw2R48Jb_4&dib_tag=se&keywords=Morro+dos+ventos+uivantes&qid=1784424417&s=books&sprefix=morro+dos+ventos+uivantes%252Cstripbooks%252C275&sr=1-4;8594318235
Breve História de quase tudo;reading;Bill Bryson;544;;;Lendo;EUA;Ciência, Não Ficção;;;breve-historia-de-quase-tudo.jpg;https://www.amazon.com.br/morro-dos-ventos-uivantes/dp/8594318235/ref=sr_1_4?__mk_pt_BR=ÅMÅ_ÕÑ&crid=I0822W6AB7N9&dib=eyJ2IjoiMSJ9.g-G4eOKuENpy5FBD5ijs-z9ra3Tu0pbQxzOw1bfMCw2qOz0D3tarfhuv0AOv2tS2yfHRZS_BUvIOL-wEoqefuTB-qTVfzahpfAY3UQFK7vR1nQZBs4YV2O42-SYu2sKjiC1wUVOVuJS18HTo1MIwFNW7wEKDbG6VQyfyJJ-gU_L8EcqlxtH836KiRso-yQHg2Tynde9z3SKlKOrYQFf0hrkGwvul1j4I64JDtBZGP-M.3n9JuxW2Ci7sLwAWUgCkuy18dMuxBsYoSaw2R48Jb_4&dib_tag=se&keywords=Morro+dos+ventos+uivantes&qid=1784424417&s=books&sprefix=morro+dos+ventos+uivantes%252Cstripbooks%252C275&sr=1-4;8594318235
O útimo Adeus;reading;Cynthia Hand;352;;;Lendo;EUA;Drama, Ficção;;;o-ultimo-adeus.jpg;https://www.amazon.com.br/Último-Adeus-Cynthia-Hand/dp/8594540027/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=18R9SPUKTXYHJ&dib=eyJ2IjoiMSJ9.v3BrH7bmBw1VJrQFjNq7xu4kIt9nmqIYcfEZWWK-iD2iSlX66ks61N-UVx-jz9Yz0x8ddUnHZdT1hWjrhVNiYo0J8BQM8-tq1_-18tHPBAkQxDJ4ty1uLB4dPvGEpG9nx-IIVs2UQc3uY6H1sXhkoXTbZGNElcV3dApzarUcYXM9dRwPjs8UbNI_K-KkW8bCcLBTlGc2lhP4FWtbGGavAyQbtAtn8fh4AgLSBuNsknc.gmfkj5-3FrTacK3eFi5rSf_sZXURYajCcNnvu-WVl6E&dib_tag=se&keywords=o+último+adeus&qid=1784424452&s=books&sprefix=o+útimo+adeus%252Cstripbooks%252C263&sr=1-1&ufe=app_do%253Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9;8594540027
O milagre do Amanhã;reading;Hall Elrod;178;;;Lendo;EUA;Produtividade, Desenvolvimento Pessoal;;;o-milagre-do-amanha.jpg;https://www.amazon.com.br/milagre-manhã-Hal-Elrod/dp/8576849941/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=26RB8TRH741WG&dib=eyJ2IjoiMSJ9.eXBEDGl65yuw_MBpCTiM3Kw7jnVpS0VtnRageg80YwuxMJTa88JRaus0L9bGAWCZaVhnAQtWskcBX2FKDYAqKOip15cOv5ebj3tekZJVezN6Ej9xDfS0A-mjbMsNGhkSzn4vb9J-o7N-L-G59jxmnpGQBn429jM36ZiDPNtSTsJlSkJPcpqxjzdHloJbEiIgTioRPSgZS_j4U6NGGNxHUyFqkuLZ6aFk-hHG5ISEfUg.1WAn7yAN4bD5DmyS-R8gOzwwKrZTZ-pbXZQHVCL3eiw&dib_tag=se&keywords=o+milagre+da+manhã&qid=1784424472&s=books&sprefix=o+milagre+do+amanhã%252Cstripbooks%252C266&sr=1-1;8576849941
Palmeiras Selvagens;reading;William Faulkner;314;;;Lendo;EUA;Clássico, Romance;;;palmeiras-selvagens.jpg;https://www.amazon.com.br/Palmeiras-selvagens-William-Faulkner/dp/8535936351/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=2YELEU8UQBQKX&dib=eyJ2IjoiMSJ9.kCHZh5ozd7aJqUatg2v2O_e3Btln1JnydhvW5TsWFuA1k5EZ04zx8gWJdWTFy7LX3No9caRGEGCEYLOXHsoIyyrexvGD6Lfep5vUd7mb6bc.wpWCynreGHCcNeQF0G7CR9Zdloq89ptoqpFdCUiqi9s&dib_tag=se&keywords=Palmeiras+Selvagens&qid=1784424491&s=books&sprefix=palmeiras+selvagens%252Cstripbooks%252C259&sr=1-1;8535936351
Chocolate quente äs quintas-feiras;Planned;Michiko Aoyama;130;;;Quero Ler;Japão;Ficção, Literatura;;;chocolate-quente-as-quintas-feiras.jpg;https://www.amazon.com.br/Chocolate-quente-quintas-feiras-Michiko-Aoyama/dp/6555656719/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=BOVETPHHMSJW&dib=eyJ2IjoiMSJ9.ig_rIecJaBcQiuSUYpuj30d7HkyCz5CLSDGW5lDaw_8.-ZvQFPHE2z4BBOEWvb8vdh2ysUSW2yKcf7GCrY58cZ4&dib_tag=se&keywords=Chocolate+quente+äs+quintas-feiras&qid=1784424513&s=books&sprefix=chocolate+quente+äs+quintas-feiras%252Cstripbooks%252C282&sr=1-1;6555656719
Palavras que aprendi com a chuva;Planned;Asha Lemmie;374;;;Quero Ler;EUA;Ficção, Romance;;;palavras-que-aprendi-com-a-chuva.jpg;https://www.amazon.com.br/Palavras-que-Aprendi-com-Chuva/dp/6555982519/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=2BD4E30OIAA63&dib=eyJ2IjoiMSJ9.62jo2oct4OU4Ijr1SyVM5k0pUVqFRHUBzfTA2d9LND1GizOanlv-oJlFXGcqzBWfEcrkRefD4BXCeK2tdfYWtUcODE3-nUioVkP91V7sCRN6wgUPjy59eku0ex7fx4XnnnyoDWQxf6Kd_6LltFSa5Q.IXohh0El-CvQ2cGpnnhhFrspRtO-jVGheBgiPUlAYlA&dib_tag=se&keywords=Palavras+que+aprendi+com+a+chuva&qid=1784424533&s=books&sprefix=palavras+que+aprendi+com+a+chuva%252Cstripbooks%252C275&sr=1-1;6555982519
Carta ao Pai;Planned;Franz Kafka;92;;;Quero Ler;República Tcheca;Clássico, Correspondência;;;carta-ao-pai.jpg;https://www.amazon.com.br/Carta-ao-pai-Franz-Kafka/dp/8571646848/ref=sr_1_2?__mk_pt_BR=ÅMÅ_ÕÑ&crid=5P38GUL3LUVO&dib=eyJ2IjoiMSJ9.uh9r37Q0O0et8E0QC98Hri3RuzwsMkSosgL-rV-wGrdoWhxoJLWF07KoDTCsK1OzPUgOkiyGJGTgNP1rrwapyNRrXZ4M1nKwvM85h0-S805_anKiQ5dnCjpjJ0SMQV9fUsBABDxHjAPUSbQokQfBPUGfXI69jNcBHbQV5beJFAxeXh1bN9DqO8WSdCIJZRPEkjcpP1Vs19cXE29a5ca8eLI-IBpXFaXH9N9_cVDqrPY.3VyJXZT2S8bLgB84WLCoALPYlcM5ZvIw0rJgPtAW14A&dib_tag=se&keywords=Carta+ao+Pai&qid=1784424561&s=books&sprefix=carta+ao+pai%252Cstripbooks%252C282&sr=1-2;8571646848
Os sete códigos da energia;Planned;Sue Morter;450;;;Quero Ler;EUA;Espiritualidade, Desenvolvimento Pessoal;;;os-sete-codigos-da-energia.jpg;https://www.amazon.com.br/Os-Sete-Códigos-Energia-Realidade/dp/8531524288/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=2A5BJPVSAA388&dib=eyJ2IjoiMSJ9.SqQJEFnqoZv5TOBR1xhRdMSKRAe88ZlhJDgc4lZgzpOU6vVcO1qJKX3zg9rF4Yh12ploPUcxUfIDT0RNznYcRntyYFqyJNIn2Ur-P3DytT47i7Hmmrio2UBePu8EeM7xnRWkO0vp8KHBp76dkgUMgDwoqqCDVe5KS0BsbnElsNf6fEAaKoiO9EfFr2npPd8O8UHwG5hUZ5L4MB49gJuZOSTE2ZMCYqVRION0TRtyzOQ.jXaImmgCEiS85wfMtMjNAWFQaCvlSJiMLNJX9BFzdrs&dib_tag=se&keywords=Os+sete+códigos+da+energia&qid=1784424592&s=books&sprefix=os+sete+códigos+da+energia%252Cstripbooks%252C278&sr=1-1;8531524288
Sobre os ossos dos mortos;Planned;Olga Tokarczuk;256;;;Quero Ler;Itália;Filosofia;;;sobre-os-ossos-dos-mortos.jpg;https://www.amazon.com.br/Sobre-os-ossos-dos-mortos/dp/6580309695/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=3PNI7XF31DUBM&dib=eyJ2IjoiMSJ9.Ytpnh-QS88EVvs1qOdkCN26_2F1EBSSF1y4vg1Cfr9QaoVmKGgdyW82edys2h2ObaqjSGguJtIrB6CmzXPFSYiCx-M5Kmp4NuXwQAvz9OiYxHHfTHTCz489H5E_SnAlGRAqt9QV3E_JrPou0CPnQKxj1NDQ0WTfLBJSiB5aXnVks-3MZ3i7XtApewhRsqJWOmnwdz8ktU8cEGoZetPaJ_sKw75BYij0XBxX8hwgnLxg.VljxLsRj8DN9OriEuMTK3HsAE99v3ZMOalrEbmI7x3Q&dib_tag=se&keywords=Sobre+os+ossos+dos+mortos&qid=1784424613&s=books&sprefix=sobre+os+ossos+dos+mortos%252Cstripbooks%252C256&sr=1-1;6580309695
Nada mais ilusório;Planned;Marta Pérez-Cabonell;149;;;Quero Ler;Espanha;Ficção, Drama;;;nada-mais-ilusorio.jpg;https://www.amazon.com.br/Nada-mais-ilusório-Marta-Pérez-Carbonell/dp/658585439X/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=19GCT0IT9IIDJ&dib=eyJ2IjoiMSJ9.8kl5Lhz9BZjfSuplZozxa2RdH_X9NVbUY0ow6eAkVlVckBazCJJ9zyl9vHHRFuDXAAYNwPzhIssW88zSZOjSnxBR1D0KZVyzjsYXSr9s9heXZAxhzopDq4RS1TK4lb3OiOurRo6PSWzGZUtNjsFKag.Jq3_gXHO0bpcjPvhTL1LhFuDXgtq61r-J720qdgkmn4&dib_tag=se&keywords=Nada+mais+ilusório&qid=1784424632&s=books&sprefix=nada+mais+ilusório%252Cstripbooks%252C261&sr=1-1;658585439X
Ruído;Planned;Daniel Kahneman;473;;;Quero Ler;Israel;Psicologia, Não Ficçã;;;ruido.jpg;https://www.amazon.com.br/Ruído-Uma-falha-julgamento-humano/dp/8547001336/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=33ZEHC3RDOYNE&dib=eyJ2IjoiMSJ9.hgOmmTPvNPxC4TfXmIQEN8gxgO2708OjURGGApQBNu1UvC5PFA8NQOFWY8rpXecdqwMwHdGo3dNme4f9j7e9Mn-ymnAkIOG5durtPBO81JAvQW9oQdfGOZhpCplZH936urElZyqvgAlup0Xsuakp1EJL8kgEKrvHcf9eAm1VK5a3l-roVipLqJ6uVfUIfL9kHLyjBR0n_RDnal02qdYoDar9kdeYTCkpC8ZK2xFJlzE.whOsqUFPfiQZw4mdHJpHM1P_Dooz0RHbJGu6iZF7Bz4&dib_tag=se&keywords=Ruído&qid=1784424657&s=books&sprefix=ruído%252Cstripbooks%252C268&sr=1-1;8547001336
Inteligencia Emocional - A teoria revolucionária que redefine o que é ser inteligente;Planned;Daniel Goleman;398;;;Quero Ler;EUA;Psicologia, Desenvolvimento Pessoal;;;inteligencia-emocional-a-teoria-revolucionaria-que-redefine-o-que-e-ser-inteligente.jpg;https://www.amazon.com.br/Inteligência-emocional-Daniel-Goleman/dp/8573020806/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=11ERQR2JGGR4J&dib=eyJ2IjoiMSJ9.GCP4Eq98cREZ_ArOp0Ap66zrL9q9uo44yVqInq9Yndaj-YJYcv11OCPpfl6z1ylv1SGOLkKgPScPDO9k6arZoURubfukbFg43c8klSQqAGhW198p9GTGrdOmFylmEhWYWdZbiOpCWsl8oW_cppt1-n6p8A_FA553etFp1r3G1Ng5ow-ycAjxaxSYNK9NA46F.LWYm2Qz0nNlSKlgmRVfa33M2E02s4IqbLhlTyjmoanI&dib_tag=se&keywords=Inteligencia+Emocional+-+A+teoria+revolucionária+que+redefine+o+que+é+ser+inteligente&qid=1784424680&s=books&sprefix=inteligencia+emocional+-+a+teoria+revolucionária+que+redefine+o+que+é+ser+inteligente%252Cstripbooks%252C255&sr=1-1;8573020806
How To do nothing;Planned;Jenny Odell;256;;;Quero Ler;EUA;Produtividade, Não Ficção;;;how-to-do-nothing.jpg;https://www.amazon.com.br/Resista-não-faça-nada-Economia/dp/6589275017/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=1RQJSOV37HRKR&dib=eyJ2IjoiMSJ9.y-bP_KAuso1yuz67gYbd-bzIcCXzaASG2_Q7X7n9Rnu_8U4okD-n0p87NqKT3QVoVujIpiq4CijSoljmddQ7j-l4w5h_2TkiyGRWUTt-4np0PkCO8zknnuOO9zEJqLHIRiDs8uTk7Fzelu5gzOi5BdOKo9HUB3LPazDrLcXwRLR646rlwmv5lbW5LnJFxLN0ZTThhvFmmaEIj9GP9sSBEiXYEpAZX4YFp4WwZXGSLM0.ayxKebeZ4ifWG9mcvnctw6_P7XGXSp_C1fgKLUUisBU&dib_tag=se&keywords=como+nao+fazer+nada&qid=1784424711&s=books&sprefix=como+nao+fazer+nad%252Cstripbooks%252C268&sr=1-1;6589275017
O fim da Infancia;Planned;Arthur C Clarke;320;;;Quero Ler;Reino Unido;Ficção Científica, Clássico;;;o-fim-da-infancia.jpg;https://www.amazon.com.br/Fim-Infância-Arthur-C-Clarke/dp/8576574578/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=2J1H54E9RAJIB&dib=eyJ2IjoiMSJ9.R5iM6q4OyD6kk3L6nAdUiPTjAJzCDjiqy606oTeZaodhBIPFbh8zSCH-66pe0nBvMoeiquX17AmspvkITFiU2skOOBUp9xIeFwPU21ToXEunzcgyGFS1P2c51iWZksCf7KO-OOkbvCNlAVAD__a4uJVxntmrUlDpafr3mfS3V1j0vZQOEqWMULFHKoBLMQ0kleuzFeJ1fOgLXNSi9L3BI7OF_YD7psoMq8Xltd1AHlo.7hgYAvmIj_cNrKHZTGk0w3ILwlPfilPtz4oViWRIGsU&dib_tag=se&keywords=O+fim+da+Infancia&qid=1784424735&s=books&sprefix=o+fim+da+infancia%252Cstripbooks%252C263&sr=1-1;8576574578
Alchemised;Planned; SenLinYu;1041;;;Quero Ler;Reino Unido;Fantasia, Romance;;;alchemised.jpg;https://www.amazon.com.br/Alchemised-Edição-brasileira-SenLinYu/dp/855101305X/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=1DZ9C300K68MT&dib=eyJ2IjoiMSJ9.7X8ctIuqRKhEbaZq5a667c1zeeKtYMCaru71XzKUreq61tXRV6vA1J2HXrLcwkgawwH0lq4Hq_A_jgxbrX3t-bXiTig95cwvQca_UWm99DwY4ZKg7mFCrLWxgYylK1Svn1eZ557JfAp9biUHGqMzi_FxQBM0gp9Wph5XjIxQYoe47yVveRgn8gqKSTSgXZIM2a0wu71KJQoRE2bJtyDp9dXgnRJzwzyA88vYS_4DowA.MN-o7xTjUyrDR_UbOd7g9ynAhblv3bY5rcwFzl7zXzQ&dib_tag=se&keywords=alchemist&qid=1784424757&s=books&sprefix=alchemised%252Cstripbooks%252C265&sr=1-1;855101305X
