book_title;Status;author;page_count;reading_time_hhmmss;rating;finished_at;country;genres;amazon_url;reading_time_seconds;cover_filename;URL;ISBN
O Vicio dos Livros;finished;Afonso Cruz;93;03:50:37;4.4;22/12/2025;Portugal;Literatura, Ensaios;;13837;o-vicio-dos-livros.jpg;https://www.amazon.com.br/vício-dos-livros-Afonso-Cruz-ebook/dp/B0CW1KQBR1/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&dib=eyJ2IjoiMSJ9.D59Er0eUtSi44KeNOUoXvwdHuo2-7zh3kb6Woo3v4uwO4Uwf2gxykHpad4Rq5zywaeV6aLQyDqPlc1t155uc1U4iBi0yIFnblsTW1UqR7uiwMHuQ8LF34qNiang2KpCVjBTCJ56hLi5jJp6dYSS76ROq5hrMjLCWCL6drB4T9Fz2jZarEAgUY_pIr-foJ97vtCpKDJMhPrR4SlSi_60Txl3emTPf0dH5A7czkHUOb48.cd9QyudTK5a9NKT1T3_BS9Od_I_PEpMQcJ-O0nCMzbE&dib_tag=se&keywords=O+Vicio+dos+Livros&qid=1784397070&s=books&sr=1-1;B0CW1KQBR1
O livro do desassossego;finished;Fernando Pessoa;368;15:12:33;3.9;24/01/2026;Portugal;Clássico;;54753;o-livro-do-desassossego.jpg;https://www.amazon.com.br/Livro-do-desassossego-Fernando-Pessoa/dp/8594318952/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=34UKKAKOFHZ2S&dib=eyJ2IjoiMSJ9.1ECzf6kNQyf7Yf-5RL6vRrCE_EexDtrvYS2Yl30e2RFfdOxHRa8JYmkmxgCWEdS4opu94ZdYvz11wXZXq7EjLFMXxuqc7GPkIqMq7oAVkcHGFGPnsvKox9Dw0AMaqgzgxtmJ5xbxH3Jciq3S2TIbYhEyjt0j5dkn_ejcPR9XGfQoAhRV50HjkzpK8h-ajw4xndBoZuot9-hJJ6q4kIBz04nS2dS8D85dhcqN46wNoXI.gowWCOe2i5IhWMiMbW4eaK5RETI0IPtYP4Yb9p7ejmM&dib_tag=se&keywords=O+livro+do+desassossego&qid=1784424121&s=books&sprefix=o+livro+do+desassossego%252Cstripbooks%252C272&sr=1-1;8594318952
Foi um péssimo dia;finished;Natalia Borges Polesso;93;02:14:03;3.9;26/01/2026;Brasil;Humor;;8043;foi-um-pessimo-dia.jpg;https://www.amazon.com.br/Foi-péssimo-Natalia-Borges-Polesso/dp/6555531134/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=KMWLPKNOXT2P&dib=eyJ2IjoiMSJ9.tViZCYLFmPt0srTNbY0V76SrcecdLsV4bTaz1O1h7PJ2_teJB3gEgQFC8DypIF2qZB6OJ6Tf0nIPDWtIMuao5Qe6xZTF2iHBkdTOZKJkCnm4eVqZPqk6mbqnm5maR0bfsqr-maRqmj40Is4IEtYSSkoAdzZJg5T4mz-MOn91ghB_uMP7-xjPx45vhRFS0DZ0.DI8rkTwNgDb3uP89HgBPyeYYqmhjzghQXnKiwVDDStk&dib_tag=se&keywords=Foi+um+péssimo+dia&qid=1784424154&s=books&sprefix=foi+um+péssimo+dia%252Cstripbooks%252C278&sr=1-1;6555531134
Não fossem as sílabas do sábado;finished;Mariana Salomão Carrara;168;04:18:00;4.1;31/01/2026;Brasil;Poesia;;15480;nao-fossem-as-silabas-do-sabado.jpg;https://www.amazon.com.br/fossem-sílabas-Mariana-Salomão-Carrara/dp/655692282X/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=1AQRJY7PDYF1W&dib=eyJ2IjoiMSJ9.95uFJpEAfTwENzZ3lJZyEuzycKVvG9Cy1C7UmJiMvzaifyzGAvgsOlNyOUd1bBK31YcSXMUN1aYtzO6wYx0X-931lQ973QsJOoLL37SeR1oMTCA9m46E99fMZdFOysekQWvq-qO-h4gMN4Ksn5mTNcdNfGtShSLrUgyMsZfbnxzCMQUe9oUJ7_B2C_zR72ziDVRTtcUhw1AUgCe_A5VsgucY4a85CF2uhzcy2o0MINA.galTfIoqXbCtmYqX_PB1PLxdweRYrqBOMLkjDdzWgL8&dib_tag=se&keywords=Não+fossem+as+sílabas+do+sábado&qid=1784424179&s=books&sprefix=não+fossem+as+sílabas+do+sábado%252Cstripbooks%252C282&sr=1-1;655692282X
Não pise no meu vazio;finished;Ana Suy;133;03:10:03;3.9;01/02/2026;Brasil;Poesia;;11403;nao-pise-no-meu-vazio.jpg;https://www.amazon.com.br/Não-pise-meu-vazio-livro/dp/854222244X/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=29M8WFCD4YNAM&dib=eyJ2IjoiMSJ9.xnxx6Lmb6FHvSM2IS486jZolqaaM5vFlWSsIq-EV3qpyyEeZFEQUud4W1EGN5s9Hpv5WHRs-w4PBSI51XXNH8Assg9Ig8nZSXb_vrczhIK2pDVLpjjugbGiBDaIm6NTaMj3eQXUoinB79qjqRxmtHEavPzx-cfu34zJLaPCx0sJtJixy09WXyS8c_rdKEZelCIzask_oBfPu7KQrgAehBmdgCFSmFror5x98LmUc3E4.z4QXkaERbbPk1rEiyjn8KASEsfnKgZ4Ay5t0Iq6k_FU&dib_tag=se&keywords=Não+pise+no+meu+vazio&qid=1784424198&s=books&sprefix=não+pise+no+meu+vazio%252Cstripbooks%252C272&sr=1-1;854222244X
A Máquina do Caos;finished;Max Fisher;543;13:45:03;4;11/05/2026;EUA;Tecnologia;;49503;a-maquina-do-caos.jpg;https://www.amazon.com.br/máquina-caos-redes-sociais-reprogramaram/dp/6556924008/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=2Y9BGFWEEHU9I&dib=eyJ2IjoiMSJ9.jHvfqg9dQRbDHv4G9Ckni88o4q6TI9IDueSZ0Afo52SyfiO6TUHzO0LEiFVsY1FsYd5jgizwa8YTt6rOFGIEANQrR014jR-z04G-15zEedOM0nmfKqgGAq_AzCxY4UI0-az8nXEBorFW6kZYsD1mYn6UhtZiSxNKc-TO72jbDaOts7IzMobczyYEcCFH40e6OclADV5cQL4WWbbnogxeRcC685RSehAoJDe-LtgiBtw.eo3sUkCHJRiew2UUN7Pr6ZLyLV-sKk4LC6GptW3HNMk&dib_tag=se&keywords=A+Máquina+do+Caos&qid=1784424236&s=books&sprefix=a+máquina+do+caos%252Cstripbooks%252C330&sr=1-1;6556924008
Desculpe o exagero, mas não sei sentir pouco;finished;Geffo Pinheiro;127;05:14:56;4;06/04/2026;Brasil;Crônicas;;18896; mas não sei sentir pouco;https://www.amazon.com.br/Desculpe-exagero-mas-sentir-pouco-ebook/dp/B0BH7748MG/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=15GF1C82PNJB&dib=eyJ2IjoiMSJ9.zFvpc5Ujxa8ZEDYtvOGhhJGXfAHdoH8bwfMmjIefMNxJBXpUFT7yPHraGPCi25aX83TH3PXl_zFy5qg2niu3bw.Pt1pnBMOiRIU9GyryWEDfYooLLxHuORwGFgtHCV-XK8&dib_tag=se&keywords=Desculpe+o+exagero%252C+mas+não+sei+sentir+pouco&qid=1784424259&s=books&sprefix=desculpe+o+exagero+mas+não+sei+sentir+pouco%252Cstripbooks%252C291&sr=1-1;B0BH7748MG
A Era da Influencia;finished;João Pedro Paes Leme;272;07:05:21;4.6;23/04/2026;Brasil;Marketing;;25521;a-era-da-influencia.jpg;https://www.amazon.com.br/s?k=A+Era+da+Influencia&i=stripbooks&__mk_pt_BR=ÅMÅ_ÕÑ&crid=39SLAF0X6TTDB&sprefix=a+era+da+influencia%252Cstripbooks%252C285&ref=nb_sb_noss_2;
Protocolo Zero;reading;Anthony McCarten;273;;;Lendo;Nova Zelândia;Thriller, Suspense;;;protocolo-zero.jpg;https://www.amazon.com.br/Protocolo-Zero-Anthony-McCarten/dp/8501923451/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=2RWHAUH9RVTZN&dib=eyJ2IjoiMSJ9.HEPpnAPt0DIpCwbJdXXk7zRU5PKJak5OD2gWdacIwUZTPNjHE4KVg-z1GvUT3meI4PHVoI6O5ERuqz9F0o8o-QL_QbzVNeC9xgaSyVM2Hq7PAIufSWQUbwW_eVBWDbSmfuN1Q6rh9kiPXzRxqguHzGWFdxULqSgbhClBOY8ZxuvhJ3We9Y9x0Y65mLjoB6mjIzs7NMF5aK4UchGmHeuEfENwHQyA4l8RdAXWZhtL7Jo.7n2Mms-yB9EqFgWH8QWhMHOmaImsdGtp9pW51SBZnTM&dib_tag=se&keywords=Protocolo+Zero&qid=1784424308&s=books&sprefix=protocolo+zero%252Cstripbooks%252C396&sr=1-1;8501923451
Sobre a terra somos belos por um instante;reading;Ocean Voung;230;;;Lendo;Itália;Filosofia;;;sobre-a-terra-somos-belos-por-um-instante.jpg;https://www.amazon.com.br/Sobre-terra-somos-belos-instante/dp/6555320036/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=2EM9BY69A7FDO&dib=eyJ2IjoiMSJ9.N2Bfl9URGHyGvCFtAdpFGezycKVvG9Cy1C7UmJiMvzZdVAACqwbc-KQxGGabVLckiPqc660lcS0vOMWbuW5hfs-w7qFceI7cma8GO2ys256Uhv-AcdjZSSzwtDJfoqoElHhT1DI99PK54cp9v66NOf6ZJC79HrG87uGXzL-60eBlhsRCRAhHBY_8OrldGK6fWA-bljVa8fc_55CIAHi0vTUj-Q9zHj6XjXdsQ5RQnn8.kLBao-4FEAVzDHhDm3PxPhGzgT7rtcCNyS2tkV2GhG4&dib_tag=se&keywords=Sobre+a+terra+somos+belos+por+um+instante&qid=1784424327&s=books&sprefix=sobre+a+terra+somos+belos+por+um+instante%252Cstripbooks%252C266&sr=1-1;6555320036
